run_accession,te,reads,reads_in_file,reads_mapped
SRR1663588,transib4,1250,16900536,1541393
SRR1663588,G3,1617,16900536,1541393
SRR1663588,jockey,15756,16900536,1541393
SRR1663588,flea,9368,16900536,1541393
SRR1663588,G4,5883,16900536,1541393
SRR1663588,G5,4965,16900536,1541393
SRR1663588,G6,1660,16900536,1541393
SRR1663588,297,34830,16900536,1541393
SRR1663588,G7,186,16900536,1541393
SRR1663588,HMS-Beagle,17395,16900536,1541393
SRR1663588,roo,150173,16900536,1541393
SRR1663588,Bari2,282,16900536,1541393
SRR1663588,Bari1,9066,16900536,1541393
SRR1663588,Tabor,13209,16900536,1541393
SRR1663588,Porto1,8072,16900536,1541393
SRR1663588,looper1,694,16900536,1541393
SRR1663588,Doc2-element,12066,16900536,1541393
SRR1663588,Dvir:Penelope,2,16900536,1541393
SRR1663588,Dpse:mini-me,47,16900536,1541393
SRR1663588,Dbuz:Kepler,620,16900536,1541393
SRR1663588,mariner2,1808,16900536,1541393
SRR1663588,Quasimodo,31009,16900536,1541393
SRR1663588,accord,6639,16900536,1541393
